ORIGIN,sum(DEP_DELAY),sum(CARRIER_DELAY),sum(WEATHER_DELAY),sum(NAS_DELAY),sum(SECURITY_DELAY),sum(LATE_AIRCRAFT_DELAY)
BGM,99815,59468,19564,12658,20,48287
PSE,62911,11677,0,9156,536,87162
INL,48121,33958,22305,10964,44,30924
DLG,1416,2839,492,1040,1654,3993
MSY,5126381,1475857,254360,1570961,9248,2749027
PPG,38367,15267,4409,4558,346,20778
GEG,657234,426761,47093,241604,1118,449405
DRT,19282,11768,7377,3990,0,8010
SNA,3089808,944779,125432,1078727,3615,1783807
BUR,2189264,544687,61031,635511,2401,1393039
GRB,317481,176733,37458,140583,135,253173
GTF,99509,110740,20731,34067,32,60053
IDA,122231,101753,18186,44039,145,112984
GRR,1350002,599581,118435,513192,1084,753077
LWB,64281,29070,2314,15943,2,41822
JLN,93244,50988,13217,29116,42,47024
PVU,53280,23333,3443,4678,8,32739
EUG,488584,212570,24285,201292,296,263491
PSG,-18012,6096,1330,8246,617,52292
ATY,24738,21038,6266,7422,0,10197
MYR,911721,262582,45376,516642,920,519616
PVD,1339219,488503,65197,454754,1451,747997
GSO,978210,396820,57701,391469,481,522989
OAK,4767794,1729985,75140,819455,15642,2191654
EAR,23773,28113,7110,7959,0,11850
MSN,941310,429197,89531,396359,307,592900
FAR,563497,290789,85919,187781,1200,286136
FSM,147409,90046,22167,34389,202,112074
COD,58165,48391,9546,17452,234,37534
MQT,203846,97814,52486,43241,217,63562
BTM,27126,30569,14720,8990,0,20870
SCC,-57359,4208,5540,5604,180,32248
ESC,99649,40018,12095,9844,156,60042
DCA,9828243,3505088,708549,3641090,12531,6015804
RFD,46963,24590,4253,11926,170,32102
CID,820254,351275,98403,236869,368,492656
MLU,292400,165407,22198,72766,1207,191257
GTR,93715,51097,9927,18571,231,61325
LWS,3175,33738,11837,2228,70,15309
PIB,98026,77090,3344,12679,109,54380
SWO,15281,12921,6855,7966,11,15189
WRG,-13395,9569,1841,7592,82,48645
HLN,35980,70656,9987,29267,8,27245
CIU,111520,58567,22739,11257,1539,42087
IAG,71454,24662,4513,33979,41,42769
LEX,720068,328962,53102,286313,826,421048
RDM,419308,203903,45544,185130,380,221932
JMS,95466,73706,18998,12089,395,95862
ORF,1893758,750567,96155,661775,2104,919308
SCE,147911,81562,26755,42064,40,75292
KTN,-17490,52252,8206,31943,1421,127134
EVV,319717,161091,33812,144845,164,195014
CRW,452647,149877,36740,116477,196,277958
OGS,49990,32014,4373,8574,40,19112
CWA,132469,71841,21631,64781,263,106913
SAV,1414538,496729,91567,540416,1249,685427
GCK,58378,37229,14410,14160,32,28675
TRI,244654,134232,20441,40880,40,151888
CDV,-43362,7780,865,8281,2888,38911
CMH,3131769,1188046,189385,1260486,2480,1533040
SPN,-2052,5900,79,1223,0,8255
LBF,13873,24935,1866,8700,26,9701
CAK,674184,310778,41572,290636,263,287842
ADK,8323,1655,887,2236,8404,3352
TYR,80107,35765,10525,31044,171,78541
CHO,525315,238572,34425,146473,426,281095
MOB,474604,203272,43402,150651,251,337524
PNS,691557,270902,54464,246970,1499,493899
DIK,4617,8334,2512,4006,1210,5433
CEC,6060,330,0,3642,0,3020
LIH,180196,331907,19626,63146,1273,420519
IAH,16733898,7029904,1788060,4890573,12096,6981662
HNL,1379116,1709758,51220,238226,22366,955401
SLN,87185,54119,4873,23895,6,32181
SHV,618130,340472,41419,161382,421,390906
ERI,90732,41793,11855,32208,258,63964
GST,-856,1070,94,1412,1048,5107
CVG,3419773,1338435,208868,1403203,2884,1618877
SJC,3627886,1474854,86097,850964,11870,2235053
TOL,100809,50023,8547,36581,33,68478
LGA,17767352,5514791,877458,5283018,19197,9959420
BUF,1952706,702136,93016,760843,1508,1119454
TLH,320203,159683,25236,84433,401,226306
CDC,18608,22899,4025,8138,0,28454
ACT,84684,47357,12157,22836,99,85207
HPN,1350849,619633,82149,320648,2386,657548
RDD,144126,64352,4606,76059,20,71928
AUS,5827350,2015643,286925,1607562,9117,2928352
MLI,407341,216242,51064,115613,287,243637
GCC,55691,52407,10409,24836,60,42435
SJU,3296208,1341116,30190,525642,9633,1990928
ATW,300719,164282,47976,109239,32,196848
DHN,144762,70984,12692,31036,0,89519
LGB,1116128,481507,31909,346406,1168,708107
AVL,759524,298138,64195,241243,657,427259
GJT,103616,141667,30466,64155,91,121359
LYH,37753,13112,3893,5759,13,29930
GFK,103205,77252,25175,26956,552,68150
CNY,32293,21782,3066,10763,0,25039
BFL,172922,139074,8627,63125,155,126108
SRQ,687255,266362,27459,266351,833,374135
RNO,1578918,596725,69886,456583,1733,925245
EYW,431760,162283,41594,141319,604,237683
SBN,733614,434162,70535,181739,1238,286960
BJI,62132,50850,11617,11276,267,29218
TTN,418183,131852,13757,129034,0,254390
JAC,594301,248255,50780,197210,329,331738
RST,302377,141437,37524,93774,436,185849
CHS,1846283,651061,76106,771611,3882,1012830
HGR,20333,6095,1416,2081,265,11850
RSW,3251523,1060482,138419,1242875,2057,1975436
TUL,1162982,529021,98760,392200,1873,733577
HRL,267894,82315,28361,82043,175,198179
AMA,347598,160613,35359,135523,951,230889
ISP,582476,220393,22097,123641,1428,288640
BOS,15764057,5846689,773530,5674745,26066,7049279
MAF,626756,246988,59366,177364,1927,478455
MLB,127017,67458,13646,39931,284,84144
EWR,19988229,6471097,1016433,5063033,20582,10026601
LAS,17814066,6302469,388783,4277116,30299,8350822
BIS,320427,201305,44058,92379,3910,182242
OGD,11449,2807,1949,1542,38,5255
ITO,-53656,68068,7477,9355,97,140887
FAI,-11683,105956,5220,41489,664,110052
JAN,575821,254506,59088,206972,659,373424
UIN,45808,19796,2212,15820,0,31520
IMT,71058,38754,20737,7975,30,42407
HHH,107227,54137,10221,30137,305,64235
XNA,1077730,425810,97939,449929,1542,593365
DLH,335469,123741,60536,102019,52,189911
HYA,23613,3687,106,9861,44,10431
DEN,28378731,10514160,1636595,6972508,18926,12775817
RHI,60969,50622,18385,20494,102,42705
EWN,112049,54318,9642,16026,8,90757
SGU,115015,128491,16441,37674,244,88015
ALB,942636,403555,64660,288977,906,510794
CPR,26012,41895,17849,29573,66,44210
LNK,206304,132738,30389,81981,160,108949
GRI,94751,58950,14349,21597,294,42131
OME,-22688,7168,2133,6704,2207,27014
IAD,5838768,2430517,667487,1969518,6318,2524510
PSP,1018614,546637,44557,449017,1037,526747
BOI,1227930,743767,64292,478843,2127,630077
SBA,663657,266045,20638,327155,379,445919
LAR,56230,45289,8404,25935,178,23360
MEI,201829,88385,8917,30338,451,151587
HOB,40103,31179,7625,33881,175,14894
BRO,115667,68133,26374,65618,83,111051
DRO,218794,143140,27391,76604,593,153173
BRD,41331,33609,15884,15686,252,15431
BMI,226006,134960,24674,77917,691,173757
RKS,40594,32954,8790,18717,154,28620
SEA,10132852,4803470,621367,3843823,24593,4308818
LAN,256138,135436,20904,82484,46,176017
VEL,23539,19935,4309,5249,36,20840
CMI,122880,65431,36944,52049,33,69899
PBG,112663,72375,5490,33804,40,50678
LRD,164182,116120,15008,81130,54,122961
PSM,33269,13005,1725,6061,88,21157
VLD,91530,53393,9076,17377,0,51022
HYS,88907,58653,6099,16416,52,81462
MCI,3858815,1357418,230968,1252541,4779,2204276
PIR,26673,19858,7191,5502,38,12026
FLG,99788,70060,20786,26492,335,86492
GRK,234256,134009,26773,92786,90,159445
BNA,7226768,2327011,329884,1857398,8705,3576083
CLT,16664711,6631642,1368061,4857018,73853,8150576
TVC,423595,160682,37291,140130,241,262757
CGI,51113,33646,6492,14611,0,24707
PAE,43432,24406,2394,33098,4,17988
CLL,93911,78170,17323,49883,36,96912
UST,17426,3188,296,4684,0,10348
PSC,230825,172055,32184,74566,275,156645
BLI,30099,37682,12256,23576,359,41721
ORH,137237,61222,3075,28718,98,86712
PBI,3406759,1020932,97192,1279108,6257,1644097
ABQ,1991451,740468,104422,443057,9956,1092919
PIE,249294,194632,79292,77430,318,163881
SDF,1666524,696555,103204,596262,1817,823115
ART,8250,2850,650,782,50,3706
ACV,258636,99755,15842,81260,422,143371
LAW,112301,65109,21296,25034,674,81182
SCK,84768,25765,3264,10645,1026,49188
BDL,1966185,863034,116076,661533,2669,1103695
MRY,315915,135083,20449,108984,207,273262
ITH,113396,57966,19929,13959,104,54888
DAL,9401664,2886482,395867,1511279,27756,3862945
DBQ,36028,11139,10707,23594,0,37124
USA,101331,34744,6034,21419,207,78656
CLE,3947944,1560096,151857,1757279,4946,1937657
PDX,3405486,1644620,152759,1527665,5707,2008292
ACK,205824,54478,9141,60568,1634,118661
MIA,10360688,4469725,852704,3051845,26725,3760332
MFR,504401,226590,36963,179024,244,251679
TWF,48835,34055,19847,24121,196,45623
ILG,7947,2022,138,3412,0,3281
TPA,7720680,2352056,469962,2182577,6410,4072314
BWI,11780285,4398011,592975,2628993,37939,4380628
BKG,8565,1098,0,5162,0,6254
CMX,122582,77715,18091,32969,280,48593
PRC,40482,29771,3625,10253,32,14124
APN,95205,46725,22502,7270,502,38466
OKC,1673742,733216,183823,460072,3908,1003793
