FL_DATE,sum(DEP_DELAY),sum(CARRIER_DELAY),sum(WEATHER_DELAY),sum(NAS_DELAY),sum(SECURITY_DELAY),sum(LATE_AIRCRAFT_DELAY)
2019-08-08,963504.0,289390.0,56646.0,264424.0,1012.0,435884.0
2019-08-22,702010.0,217968.0,58636.0,253378.0,726.0,287396.0
2019-08-23,513224.0,174998.0,29000.0,176546.0,738.0,260352.0
2019-08-31,154460.0,110930.0,3344.0,26286.0,244.0,67380.0
2018-04-11,76466.0,75662.0,1230.0,56050.0,126.0,65172.0
2018-08-23,252200.0,107406.0,10642.0,92892.0,128.0,136206.0
2018-01-19,129676.0,92084.0,4086.0,48910.0,334.0,80568.0
2018-08-24,240012.0,111882.0,17768.0,80786.0,594.0,132028.0
2019-12-14,300162.0,139650.0,16108.0,86798.0,578.0,127264.0
2019-08-29,221206.0,110392.0,8662.0,57596.0,170.0,120110.0
2018-04-25,385442.0,119308.0,8208.0,171578.0,244.0,178268.0
2018-08-02,1147712.0,278354.0,89026.0,394144.0,1994.0,508124.0
2018-08-04,475490.0,225160.0,6012.0,38822.0,1172.0,181704.0
2019-12-19,523388.0,191102.0,7004.0,94094.0,724.0,228164.0
2018-08-29,180520.0,103464.0,16502.0,84270.0,196.0,118504.0
2018-08-09,888554.0,243958.0,98004.0,215136.0,824.0,415386.0
2019-08-01,933602.0,270108.0,54224.0,258010.0,636.0,450830.0
2019-08-04,507010.0,200322.0,27124.0,96366.0,1088.0,239556.0
2019-12-09,670144.0,156314.0,39876.0,238796.0,344.0,331908.0
2019-08-11,349318.0,161270.0,17738.0,61546.0,688.0,170964.0
2018-01-10,193564.0,90762.0,12088.0,73052.0,126.0,114190.0
2018-01-26,24872.0,76990.0,1916.0,23560.0,158.0,50942.0
2018-01-01,736880.0,273760.0,37674.0,75618.0,1198.0,310722.0
2018-01-28,88908.0,88944.0,7160.0,37984.0,444.0,66448.0
2018-04-28,125592.0,88286.0,5144.0,35862.0,436.0,89850.0
2019-05-13,598912.0,186976.0,31304.0,136930.0,278.0,308512.0
2018-08-30,218238.0,124120.0,11940.0,69460.0,966.0,121646.0
2019-08-15,684618.0,185656.0,28552.0,273610.0,1360.0,316158.0
2019-05-02,846106.0,205216.0,85924.0,243558.0,482.0,432344.0
2018-01-12,968554.0,251116.0,80194.0,292984.0,252.0,407546.0
2018-04-18,174714.0,111538.0,10088.0,53048.0,136.0,98042.0
2019-05-27,470670.0,154010.0,34422.0,171176.0,104.0,211504.0
2019-12-01,1094250.0,297540.0,72850.0,333814.0,702.0,498190.0
2018-08-13,1129044.0,237310.0,57326.0,397828.0,600.0,532054.0
2019-12-12,297628.0,139976.0,12100.0,71208.0,664.0,147268.0
2019-12-25,153318.0,101876.0,14906.0,35852.0,76.0,72138.0
2018-08-14,925526.0,257342.0,52122.0,277200.0,642.0,406528.0
2018-01-16,332122.0,121224.0,38654.0,95822.0,168.0,156758.0
2018-04-14,266678.0,115180.0,43722.0,92780.0,346.0,101986.0
2018-08-18,416412.0,145622.0,69474.0,128870.0,158.0,178434.0
2019-05-16,475236.0,163944.0,12816.0,115724.0,316.0,251898.0
2019-12-28,736458.0,240098.0,43254.0,146314.0,1428.0,343258.0
2019-12-23,777466.0,228190.0,45868.0,109236.0,830.0,373604.0
2018-01-20,31988.0,68056.0,1926.0,20772.0,234.0,43264.0
2018-01-25,55542.0,84058.0,5166.0,33666.0,212.0,59654.0
2019-05-20,587048.0,206364.0,39616.0,162562.0,744.0,265522.0
